"TOA5","CR6_HU","CR6","1449","CR6.Std.01","CPU:Tower2irrad.CR6","35696","TableDay"
"TIMESTAMP","RECORD","PAR_Den_Avg","PAR_BF_tot_Avg","PAR_BF_diff_Avg","PAR_Den_Min","PAR_Den_TMn","PAR_Den_Max","PAR_Den_TMx","PAR_BF_tot_Min","PAR_BF_tot_TMn","PAR_BF_tot_Max","PAR_BF_tot_TMx","PAR_BF_diff_Min","PAR_BF_diff_TMn","PAR_BF_diff_Max","PAR_BF_diff_TMx","BattV_Min"
"TS","RN","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","Volts"
"","","Avg","Avg","Avg","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min"
"2015-08-28 00:00:00",8,363.4799,371.1402,220.7664,-0.1052334,"2015-08-27 02:02:43",1842.995,"2015-08-27 13:33:43",0.6155493,"2015-08-27 23:32:02",1961.851,"2015-08-27 13:33:43",0.7936294,"2015-08-27 05:10:59",1098.2,"2015-08-27 15:17:05",12.78
"2015-08-29 00:00:00",9,141.3812,143.1776,108.4927,-0.1129084,"2015-08-28 23:08:20",1497.713,"2015-08-28 15:43:30",0.6189256,"2015-08-28 01:44:43",1622.574,"2015-08-28 15:43:30",0.8732943,"2015-08-28 23:38:28",789.1588,"2015-08-28 15:36:47",12.86
"2015-08-30 00:00:00",10,384.0197,397.2971,145.1636,-0.1015835,"2015-08-29 02:32:34",1694.166,"2015-08-29 13:37:22",0.6421872,"2015-08-29 22:52:41",1844.204,"2015-08-29 13:37:22",0.8526441,"2015-08-29 23:36:11",670.9569,"2015-08-29 14:42:54",12.82
"2015-08-31 00:00:00",11,277.4431,276.7433,162.5301,-0.1176545,"2015-08-30 04:30:18",1807.004,"2015-08-30 14:50:11",0.6645258,"2015-08-30 00:49:11",1875.401,"2015-08-30 14:50:11",0.7631028,"2015-08-30 05:37:38",898.2995,"2015-08-30 14:48:20",12.78
"2015-09-01 00:00:00",12,391.9113,409.1339,117.3296,-0.1399439,"2015-08-31 02:31:04",1241.426,"2015-08-31 13:19:27",0.6619667,"2015-08-31 21:38:50",1376.302,"2015-08-31 13:40:33",0.7563476,"2015-08-31 04:52:26",435.6797,"2015-08-31 17:51:42",12.73
"2015-09-02 00:00:00",13,199.1129,194.9906,186.6144,-0.1394255,"2015-09-01 00:59:01",895.2822,"2015-09-01 15:20:44",0.6651986,"2015-09-01 20:48:10",934.9125,"2015-09-01 15:20:44",0.7996646,"2015-09-01 03:55:50",730.8216,"2015-09-01 15:20:46",12.79
"2015-09-03 00:00:00",14,112.3135,109.0814,107.2461,-0.1059669,"2015-09-02 22:45:01",446.2715,"2015-09-02 11:52:22",0.6611162,"2015-09-02 20:39:11",438.3616,"2015-09-02 11:51:14",0.8274404,"2015-09-02 00:02:15",438.6738,"2015-09-02 11:52:01",12.82
"2015-09-04 00:00:00",15,69.31583,70.87409,66.44542,-0.1137535,"2015-09-03 01:53:53",625.3426,"2015-09-03 13:22:42",0.6672624,"2015-09-03 05:58:23",648.2462,"2015-09-03 13:22:42",0.6108822,"2015-09-03 21:40:42",626.6906,"2015-09-03 13:22:54",12.8
"2015-09-05 00:00:00",16,292.1091,304.1418,161.5296,-0.103743,"2015-09-04 22:19:54",1600.801,"2015-09-04 12:50:15",2.266747,"2015-09-04 03:09:44",1696.049,"2015-09-04 12:50:16",0.6905211,"2015-09-04 03:09:44",730.3769,"2015-09-04 13:36:29",12.75
"2015-09-06 00:00:00",17,145.3443,151.8637,107.9298,-0.1277772,"2015-09-05 04:17:33",1215.153,"2015-09-05 15:59:11",5.115597,"2015-09-05 00:50:37",1288.159,"2015-09-05 13:51:08",0.9018028,"2015-09-05 00:05:22",676.155,"2015-09-05 13:10:56",12.82
"2015-09-07 00:00:00",18,219.555,225.9657,174.1621,-0.150112,"2015-09-06 02:31:24",1294.612,"2015-09-06 11:08:16",5.206697,"2015-09-06 22:04:18",1319.56,"2015-09-06 11:08:16",1.102132,"2015-09-06 22:08:10",795.3329,"2015-09-06 11:08:21",12.78
"2015-09-08 00:00:00",19,86.19793,90.28082,82.34094,-0.1249614,"2015-09-07 00:18:28",459.3158,"2015-09-07 12:46:45",5.111439,"2015-09-07 21:36:27",463.3102,"2015-09-07 12:46:38",0.9104428,"2015-09-07 23:32:59",453.9588,"2015-09-07 12:46:38",12.76
